month;avg_temp;avg_no2
1;8,54;23,06
2;8,69;25,68
3;9,89;22,38
4;14,49;21
5;19,8;21,86
6;24,3;18,88
7;27,11;15,66
8;27,18;17,13
9;23,08;19,11
10;17,9;20,11
11;13,77;20,93
12;10,85;21,8
