month;avg_temp;avg_o3
1;8,54;48,5
2;8,69;57,71
3;9,89;68,97
4;14,49;74,84
5;19,8;75,99
6;24,3;79,32
7;27,11;87,52
8;27,18;84,78
9;23,08;73,19
10;17,9;60,2
11;13,77;48,19
12;10,85;44,4
