geographic_sector;exceedances_count
Κεντρικά;84386
Δυτικά;34025
Ανατολικά;23325
Βόρειο-Κεντρικά;10073
Νότιο-Δυτικά;9477
Νότιο-Κεντρικά;9196
Νότιο-Ανατολικά;7010
Βόρειο-Ανατολικά;4021
Βόρειο-Δυτικά;2584
